time,open,high,low,close,Volume
1784811000,8309.6,8311.6,8308.6,8311.1,104
1784811060,8310.9,8314.6,8310.4,8312.1,116
1784811120,8312.6,8313.1,8307.9,8311.3,92
1784811180,8311.1,8313.1,8310.6,8311.1,86
1784811240,8310.6,8311.1,8304.6,8305.6,110
1784811300,8305.1,8306.6,8305.1,8305.1,96
1784811360,8305.4,8307.4,8304.9,8307.4,84
1784811420,8307.1,8309.1,8304.9,8305.1,90
1784811480,8304.9,8306.1,8297.2,8299.2,114
1784811540,8299.7,8301.1,8298.7,8300.6,100
1784811600,8300.1,8301.4,8295.7,8301.4,130
1784811660,8301.1,8301.1,8299.1,8300.4,102
1784811720,8300.1,8300.6,8295.1,8295.6,114
1784811780,8296.1,8297.6,8293.9,8294.6,90
1784811840,8294.1,8295.6,8289.1,8291.2,103
1784811900,8291.7,8291.7,8286.2,8287,106
1784811960,8286.5,8286.7,8281,8281.8,112
1784812020,8282.3,8286,8281.3,8285.7,132
1784812080,8286,8286.7,8282.7,8285.7,126
1784812140,8285.2,8285.7,8282.2,8283.7,102
1784812200,8283.2,8287.7,8283.2,8286.2,124
1784812260,8285.7,8290.2,8285.7,8289.2,130
1784812320,8288.7,8294.6,8287.4,8293.6,128
1784812380,8293.1,8293.1,8288.1,8289.1,102
1784812440,8288.9,8293.6,8288.9,8292.8,112
1784812500,8292.6,8293.1,8289.1,8289.6,112
1784812560,8289.8,8292,8289.8,8291.3,110
1784812620,8291,8295.5,8290.5,8295.5,137
1784812680,8295,8295,8292.5,8292.5,108
1784812740,8293,8295.5,8292,8293.5,110
1784812800,8293,8294.5,8290.8,8294,110
1784812860,8293.8,8296.8,8293,8295,100
1784812920,8295.5,8297.7,8295.3,8296,106
1784812980,8295.5,8296.5,8293,8296.5,108
1784813040,8296,8296,8288.6,8288.6,92
1784813100,8289.1,8289.8,8286.4,8288.1,94
1784813160,8287.9,8288.9,8286.4,8288.6,92
1784813220,8289.4,8289.4,8284.2,8284.2,88
1784813280,8283.7,8287.6,8283.7,8287.4,102
1784813340,8287.1,8287.1,8284.2,8286.6,96
1784813400,8287.6,8289.1,8284.7,8285.2,140
1784813460,8284.9,8288.7,8283.9,8288.4,126
1784813520,8288.6,8293.6,8287.6,8290.8,140
1784813580,8291.3,8294,8289.5,8294,126
1784813640,8295,8298.9,8293.7,8296.9,138
1784813700,8296.4,8299.4,8294.9,8296.9,140
1784813760,8296.4,8297.9,8292.9,8295.4,134
1784813820,8294.9,8303.9,8294.9,8302.4,118
1784813880,8301.9,8305.8,8301.9,8305.6,112
1784813940,8305.8,8306.1,8301.1,8302.1,128
1784814000,8301.9,8303.9,8301.1,8302.9,134
1784814060,8302.4,8305.6,8302.4,8304.3,130
1784814120,8304.8,8311.3,8303.8,8310.8,112
1784814180,8311.3,8316.5,8310.3,8316.2,122
1784814240,8316.7,8316.7,8310.5,8310.8,126
1784814300,8311,8312.8,8306.8,8309,130
1784814360,8308.3,8309.8,8304.6,8305.8,114
1784814420,8306.3,8306.3,8303.6,8304.9,116
1784814480,8305.4,8305.4,8301.6,8304.4,112
1784814540,8304.1,8308.3,8301.4,8302.4,120
1784814600,8302.9,8303.9,8300.1,8303.6,120
1784814660,8303.4,8305.4,8302.1,8303.4,122
1784814720,8303.9,8303.9,8299.9,8302.3,106
1784814780,8301.8,8302.1,8299.1,8302.1,94
1784814840,8301.6,8307.3,8300.6,8307.3,102
1784814900,8306.5,8309.8,8305.3,8305.3,110
1784814960,8305.5,8305.8,8300.6,8300.6,92
1784815020,8300.3,8300.6,8296.4,8298.4,114
1784815080,8297.9,8298.6,8294.6,8296.4,94
1784815140,8296.9,8298.9,8296.4,8296.6,93
1784815200,8296.9,8303.3,8295.8,8300.3,136
